품목,세부,마트,"무게 (g, ml)",수량 (EA),단가 (원),가격 (원),"단가 (100 g, ml당 가격)",날짜
팽이버섯,팽이버섯 봉 (국산),킴스클럽,,1,600,600,#DIV/0!,20250318
목심,오아시스 목심 구이용,킴스클럽,,1,"9,950","9,950",#DIV/0!,20250318
쌈총사,오아시스 친환경 쌈총사 120g,킴스클럽,120,1,"2,990","2,990",2491.666667,20250320
우유,동원 대니쉬 건강한 우유 900ml *2,킴스클럽,900,2,"1,995","3,990",221.6666667,20250323
김치,종가 포기김치 3kg,킴스클럽,3000,1,"20,990","20,990",699.6666667,20250323
아이스크림,롯데 아이스크림 10개 묶음,킴스클럽,,1,"5,990","5,990",#DIV/0!,20250329
양파,양파1.5kg(중),킴스클럽,1500,1,"5,990","5,990",399.3333333,20250329
우유,오프라이스 연세 목장우유 900ml,킴스클럽,900,2,"1,990","3,980",221.1111111,20250329
치즈,인포켓치즈 200g,킴스클럽,200,2,"5,990","11,980",2995,20250329
비피더스,동원 비피더스명장 125ml*12,킴스클럽,,1,"4,590","4,590",#DIV/0!,20250329
포도주스,미닛메이드 포도 1.5L,킴스클럽,1500,1,"1,990","1,990",132.6666667,20250329
삼겹살,삽겹살(냉장) MKT전점,킴스클럽,,1,"19,580","19,580",#DIV/0!,20250404
김,양반 히말라야 소금김 20P,킴스클럽,,20,279.5,"5,590",#DIV/0!,20250405
우유,오프라이스 연세 목장우유 900ml,킴스클럽,900,1,"1,990","1,990",221.1111111,20250405
팝콘,바프 팝콘 80G,킴스클럽,80,1,998,998,1247.5,20250405
우유,오프라이스 연세 목장우유 900ml,킴스클럽,900,2,"1,990","3,980",221.1111111,20250409
토마토,대추방울토마토 550g,킴스클럽,550,2,"4,995","9,990",908.1818182,20250409
파인애플,갓 썰은 고당도 파인애플,킴스클럽,,1,"6,392","6,392",#DIV/0!,20250409
계란,무항생제 신선특란 30입,킴스클럽,,1,"7,990","7,990",#DIV/0!,20250409
우유,오프라이스 연세 목장우유 900ml,킴스클럽,900,1,"1,990","1,990",221.1111111,20250412
먹태깡,농심 먹태깡 청양마요맛 60g,킴스클럽,,1,997,997,#DIV/0!,20250412
치즈,인포켓치즈 200g,킴스클럽,200,1,"5,990","5,990",2995,20250412
두부,행복한콩 부침두부 380g,킴스클럽,380,1,990,990,260.5263158,20250412
베이컨토마토 소스,청정원 스파게티 소스 베이컨 토마토 600g,킴스클럽,600,1,"3,995","3,995",665.8333333,20250413
로제 스파게티 소스,청정원 로제 스파게티소스 600g,킴스클럽,600,1,"3,995","3,995",665.8333333,20250413
아이스크림,롯데 아이스크림 10개 묶음,킴스클럽,,1,"5,990","5,990",#DIV/0!,20250413
우유,오프라이스 연세 목장우유 900ml,킴스클럽,900,2,"1,990","3,980",221.1111111,20250417
쌈장,해찬들 찍장쌈장 300g (튜브형),킴스클럽,300,1,"2,590","2,590",863.3333333,20250417
대파,실속대파,킴스클럽,,1,"1,990","1,990",#DIV/0!,20250417
상추혼합,친환경 상추+깻잎,킴스클럽,,1,"2,093","2,093",#DIV/0!,20250417
목심,오아시스 목심 구이용,킴스클럽,,1,"8,955","8,955",#DIV/0!,20250417
방울토마토,토망고 대추방울토마토 500g,킴스클럽,500,1,"3,995","3,995",799,20250417
방울토마토,컬러 대추방울토마토 500g,킴스클럽,500,1,"3,995","3,995",799,20250417
우유,동원 순수우유 기획 900ml*2,롯데슈퍼,900,2,900,"1,800",100,20250420
초록매실,웅진 초록매실스파클링350ML,롯데슈퍼,350,2,"1,580","3,160",451.4285714,20250420
모구모구,모구모구(복숭아)320ML,롯데슈퍼,320,1,990,990,309.375,20250420
모구모구,모구모구(파인애플)320ML,롯데슈퍼,320,1,990,990,309.375,20250420
